Frame#,Time[s],DN,Power[W]
0.000000000000000000e+00,2.644230769230769607e+00,2.014218009478690874e+01,1.328444818239106750e+15
1.000000000000000000e+00,2.688301282051282382e+00,2.251184834123205292e+01,1.484732443914271000e+15
2.000000000000000000e+00,2.732371794871795156e+00,2.251184834123205292e+01,1.484732443914271000e+15
3.000000000000000000e+00,2.776442307692307931e+00,3.015941404567001882e+01,1.989115235866027750e+15
4.000000000000000000e+00,2.820512820512820706e+00,3.475513428120075332e+01,2.292218509902760500e+15
5.000000000000000000e+00,2.864583333333333481e+00,3.510071090047404141e+01,2.315010455313724500e+15
6.000000000000000000e+00,2.908653846153846256e+00,3.909952606635079064e+01,2.578745823640601500e+15
7.000000000000000000e+00,2.952724358974359031e+00,4.028436018957336273e+01,2.656889636478183500e+15
8.000000000000000000e+00,2.996794871794871806e+00,4.146919431279638957e+01,2.735033449315795500e+15
9.000000000000000000e+00,3.040865384615385025e+00,4.324644549763024770e+01,2.852249168572169000e+15
1.000000000000000000e+01,3.084935897435897800e+00,4.324644549763024770e+01,2.852249168572169000e+15
1.100000000000000000e+01,3.129006410256410575e+00,5.450236966824650153e+01,3.594615390529320000e+15
1.200000000000000000e+01,3.173076923076923350e+00,5.331753554502347470e+01,3.516471577691707500e+15
1.300000000000000000e+01,3.217147435897436125e+00,5.213270142180090261e+01,3.438327764854125500e+15
1.400000000000000000e+01,3.261217948717948900e+00,5.213270142180090261e+01,3.438327764854125500e+15
1.500000000000000000e+01,3.305288461538461675e+00,5.687203791469210046e+01,3.750903016204513500e+15
1.600000000000000000e+01,3.349358974358974450e+00,5.924170616113724464e+01,3.907190641879678500e+15
1.700000000000000000e+01,3.393429487179487225e+00,5.924170616113724464e+01,3.907190641879678500e+15
1.800000000000000000e+01,3.437500000000000444e+00,5.924170616113724464e+01,3.907190641879678500e+15
1.900000000000000000e+01,3.481570512820513219e+00,5.924170616113724464e+01,3.907190641879678500e+15
2.000000000000000000e+01,3.525641025641025994e+00,6.161137440758284356e+01,4.063478267554873000e+15
2.100000000000000000e+01,3.569711538461538769e+00,6.161137440758284356e+01,4.063478267554873000e+15
2.200000000000000000e+01,3.613782051282051544e+00,6.279620853080587040e+01,4.141622080392485000e+15
2.300000000000000000e+01,3.657852564102564319e+00,6.398104265402844248e+01,4.219765893230066500e+15
2.400000000000000000e+01,3.701923076923077094e+00,7.510025519504188196e+01,4.953115521398252000e+15
2.500000000000000000e+01,3.745993589743589869e+00,7.701421800947855445e+01,5.079347834443591000e+15
2.600000000000000000e+01,3.790064102564102644e+00,8.056872037914672546e+01,5.313779272956367000e+15
2.700000000000000000e+01,3.834134615384615863e+00,9.791469194312821855e+01,6.457804692898771000e+15
2.800000000000000000e+01,3.878205128205128638e+00,1.044346648612049648e+02,6.887818931542187000e+15
2.900000000000000000e+01,3.922275641025641413e+00,1.119668246445498880e+02,7.384590313152624000e+15
3.000000000000000000e+01,3.966346153846154188e+00,1.218483412322275399e+02,8.036309712218152000e+15
3.100000000000000000e+01,4.010416666666666963e+00,1.312532912058977672e+02,8.656597933231222000e+15
3.200000000000000000e+01,4.054487179487179738e+00,1.427545598161709677e+02,9.415145449765834000e+15
3.300000000000000000e+01,4.098557692307692513e+00,1.489099526066352155e+02,9.821114397428802000e+15
3.400000000000000000e+01,4.142628205128205288e+00,1.715639810426537224e+02,1.131522409888356600e+16
3.500000000000000000e+01,4.186698717948718063e+00,2.005331753554501120e+02,1.322584032276274600e+16
3.600000000000000000e+01,4.230769230769230838e+00,2.085308056872036104e+02,1.375331105941650200e+16
3.700000000000000000e+01,4.274839743589743613e+00,2.274881516587679471e+02,1.500361206481802600e+16
3.800000000000000000e+01,4.318910256410256387e+00,2.298578199052130913e+02,1.515989969049319000e+16
3.900000000000000000e+01,4.362980769230769162e+00,2.381516587677724601e+02,1.570690638035635400e+16
4.000000000000000000e+01,4.407051282051281937e+00,2.511848341232225721e+02,1.656648832156988000e+16
4.100000000000000000e+01,4.451121794871795601e+00,2.571090047393363420e+02,1.695720738575784800e+16
4.200000000000000000e+01,4.495192307692308376e+00,2.618483412322275399e+02,1.726978263710824000e+16
4.300000000000000000e+01,4.539262820512821150e+00,2.736966824644550798e+02,1.805122076548418000e+16
4.400000000000000000e+01,4.583333333333333925e+00,2.784360189573458229e+02,1.836379601683454000e+16
4.500000000000000000e+01,4.627403846153846700e+00,2.902843601895733627e+02,1.914523414521048000e+16
4.600000000000000000e+01,4.671474358974359475e+00,2.926540284360189617e+02,1.930152177088567600e+16
4.700000000000000000e+01,4.715544871794872250e+00,3.033175355450234747e+02,2.000481608642400400e+16
4.800000000000000000e+01,4.759615384615385025e+00,3.153481589500547670e+02,2.079827633985190000e+16
4.900000000000000000e+01,4.803685897435897800e+00,3.272636567722620384e+02,2.158414367219431200e+16
5.000000000000000000e+01,4.847756410256410575e+00,3.376777251184835222e+02,2.227098665871424800e+16
5.100000000000000000e+01,4.891826923076923350e+00,3.447867298578198643e+02,2.273984953573980000e+16
5.200000000000000000e+01,4.935897435897436125e+00,3.518957345971562063e+02,2.320871241276535600e+16
5.300000000000000000e+01,4.979967948717948900e+00,3.566350710900474041e+02,2.352128766411574000e+16
5.400000000000000000e+01,5.024038461538461675e+00,3.696682464454975161e+02,2.438086960532926800e+16
5.500000000000000000e+01,5.068108974358974450e+00,3.803317535545024839e+02,2.508416392086762800e+16
5.600000000000000000e+01,5.112179487179487225e+00,3.815165876777250560e+02,2.516230773370520400e+16
5.700000000000000000e+01,5.156250000000000000e+00,4.032498307379823927e+02,2.659568852918336000e+16
5.800000000000000000e+01,5.200320512820512775e+00,4.360953982571472807e+02,2.876196466054663600e+16
5.900000000000000000e+01,5.244391025641026438e+00,4.565560821484991720e+02,3.011141588008615200e+16
6.000000000000000000e+01,5.288461538461539213e+00,4.976303317535544011e+02,3.282040139178940000e+16
6.100000000000000000e+01,5.332532051282051988e+00,5.118483412322275399e+02,3.375812714584053200e+16
6.200000000000000000e+01,5.376602564102564763e+00,5.497630331753553037e+02,3.625872915664352800e+16
6.300000000000000000e+01,5.420673076923077538e+00,5.533175355450237021e+02,3.649316059515631200e+16
6.400000000000000000e+01,5.464743589743590313e+00,5.746445497630331829e+02,3.789974922623300000e+16
6.500000000000000000e+01,5.508814102564103088e+00,6.018957345971564337e+02,3.969705692149767200e+16
6.600000000000000000e+01,5.552884615384615863e+00,6.340343601895733627e+02,4.181670784471738400e+16
6.700000000000000000e+01,5.596955128205128638e+00,6.575829383886255073e+02,4.336981612486456800e+16
6.800000000000000000e+01,5.641025641025641413e+00,7.011396975851953357e+02,4.624253153013231200e+16
6.900000000000000000e+01,5.685096153846154188e+00,7.075520296723675528e+02,4.666544649236309600e+16
7.000000000000000000e+01,5.729166666666666963e+00,7.266774756797206010e+02,4.792683426297267200e+16
7.100000000000000000e+01,5.773237179487179738e+00,7.698036560595803621e+02,5.077115154076811200e+16
7.200000000000000000e+01,5.817307692307692513e+00,7.802495405745237349e+02,5.146009291109138400e+16
7.300000000000000000e+01,5.861378205128205288e+00,7.943050268044439690e+02,5.238709970787805600e+16
7.400000000000000000e+01,5.905448717948718063e+00,8.228541337546075738e+02,5.427000975112181600e+16
7.500000000000000000e+01,5.949519230769230838e+00,8.423093494183542589e+02,5.555314694454398400e+16
7.600000000000000000e+01,5.993589743589743613e+00,8.595313322801473532e+02,5.668899489073888800e+16
7.700000000000000000e+01,6.037660256410256387e+00,8.640073723012110349e+02,5.698420485034757600e+16
7.800000000000000000e+01,6.081730769230770051e+00,8.604265402843602715e+02,5.674803688266064000e+16
7.900000000000000000e+01,6.125801282051282826e+00,8.515351329074799196e+02,5.616161853067068800e+16
8.000000000000000000e+01,6.169871794871795601e+00,8.544346648612049648e+02,5.635285245773908000e+16
8.100000000000000000e+01,6.213942307692308376e+00,8.520273828330700780e+02,5.619408407610080800e+16
8.200000000000000000e+01,6.258012820512821150e+00,8.606452788917245016e+02,5.676246343272296800e+16
8.300000000000000000e+01,6.302083333333333925e+00,8.646020591599933596e+02,5.702342645755724800e+16
8.400000000000000000e+01,6.346153846153846700e+00,8.755924170616112860e+02,5.774827768698183200e+16
8.500000000000000000e+01,6.390224358974359475e+00,8.771003877638947870e+02,5.784773344877513600e+16
8.600000000000000000e+01,6.434294871794872250e+00,8.790891226447809004e+02,5.797889723218546400e+16
8.700000000000000000e+01,6.478365384615385025e+00,8.848840109753055003e+02,5.836108969291875200e+16
8.800000000000000000e+01,6.522435897435897800e+00,8.994372037914690736e+02,5.932092192033840000e+16
8.900000000000000000e+01,6.566506410256410575e+00,9.038193476442709198e+02,5.960993911046568800e+16
9.000000000000000000e+01,6.610576923076923350e+00,8.970886932972239265e+02,5.916602971989245600e+16
9.100000000000000000e+01,6.654647435897436125e+00,8.765233581584291187e+02,5.780967639706851200e+16
9.200000000000000000e+01,6.698717948717948900e+00,8.661611374407582389e+02,5.712625293679458400e+16
9.300000000000000000e+01,6.742788461538461675e+00,8.378357030015799864e+02,5.525809485122385600e+16
9.400000000000000000e+01,6.786858974358974450e+00,8.349558088894582397e+02,5.506815610614652800e+16
9.500000000000000000e+01,6.830929487179487225e+00,8.317535545023697523e+02,5.485695661199086400e+16
9.600000000000000000e+01,6.875000000000000888e+00,8.265402843601893892e+02,5.451312383550544000e+16
9.700000000000000000e+01,6.919070512820513663e+00,8.126806149578085297e+02,5.359903181997107200e+16
9.800000000000000000e+01,6.963141025641026438e+00,7.937203791469194130e+02,5.234854021990409600e+16
9.900000000000000000e+01,7.007211538461539213e+00,7.650826181631869076e+02,5.045978314367004800e+16
1.000000000000000000e+02,7.051282051282051988e+00,7.500623596906957573e+02,4.946914635845148800e+16
1.010000000000000000e+02,7.095352564102564763e+00,7.369668246445496607e+02,4.860545158498335200e+16
1.020000000000000000e+02,7.139423076923077538e+00,6.972748815165875840e+02,4.598763385492396000e+16
1.030000000000000000e+02,7.183493589743590313e+00,6.836492890995259586e+02,4.508898000729163200e+16
1.040000000000000000e+02,7.227564102564103088e+00,6.753554502369668171e+02,4.454197331742848000e+16
1.050000000000000000e+02,7.271634615384615863e+00,6.469194312796207669e+02,4.266652180932621600e+16
1.060000000000000000e+02,7.315705128205128638e+00,6.386255924170616254e+02,4.211951511946307200e+16
1.070000000000000000e+02,7.359775641025641413e+00,6.244075829383884866e+02,4.118178936541193600e+16
1.080000000000000000e+02,7.403846153846154188e+00,5.971563981042654632e+02,3.938448167014728800e+16
1.090000000000000000e+02,7.447916666666666963e+00,5.853080568720379233e+02,3.860304354177135200e+16
1.100000000000000000e+02,7.491987179487179738e+00,5.473933649289099321e+02,3.610244153096834400e+16
1.110000000000000000e+02,7.536057692307692513e+00,5.311018957345970648e+02,3.502796410445142400e+16
1.120000000000000000e+02,7.580128205128205288e+00,5.229067930489729861e+02,3.448746939899140000e+16
1.130000000000000000e+02,7.624198717948718063e+00,4.977937571498609941e+02,3.283117984873252000e+16
1.140000000000000000e+02,7.668269230769231726e+00,4.905213270142180590e+02,3.235153851476384800e+16
1.150000000000000000e+02,7.712339743589744501e+00,4.822274881516586902e+02,3.180453182490068000e+16
1.160000000000000000e+02,7.756410256410257276e+00,4.810426540284358907e+02,3.172638801206308400e+16
1.170000000000000000e+02,7.800480769230770051e+00,4.810426540284358907e+02,3.172638801206308400e+16
1.180000000000000000e+02,7.844551282051282826e+00,4.810426540284358907e+02,3.172638801206308400e+16
1.190000000000000000e+02,7.888621794871795601e+00,4.774881516587677197e+02,3.149195657355031200e+16
1.200000000000000000e+02,7.932692307692308376e+00,4.729857819905214456e+02,3.119501008476746000e+16
1.210000000000000000e+02,7.976762820512821150e+00,4.653280119730604838e+02,3.068995428390131200e+16
1.220000000000000000e+02,8.020833333333333925e+00,4.552550878171173281e+02,3.002561090912722400e+16
1.230000000000000000e+02,8.064903846153846700e+00,4.431279620853078995e+02,2.922578600126008000e+16
1.240000000000000000e+02,8.108974358974359475e+00,4.365658038643823602e+02,2.879298949939036000e+16
1.250000000000000000e+02,8.153044871794872250e+00,4.218009478672984187e+02,2.781919737018338800e+16
1.260000000000000000e+02,8.197115384615385025e+00,4.158767772511846488e+02,2.742847830599542000e+16
1.270000000000000000e+02,8.241185897435897800e+00,4.075829383886257347e+02,2.688147161613228400e+16
1.280000000000000000e+02,8.285256410256410575e+00,4.016587677725119647e+02,2.649075255194431200e+16
1.290000000000000000e+02,8.329326923076923350e+00,3.969194312796207669e+02,2.617817730059392400e+16
1.300000000000000000e+02,8.373397435897436125e+00,3.886255924170613980e+02,2.563117061073076000e+16
1.310000000000000000e+02,8.417467948717948900e+00,3.850710900473932270e+02,2.539673917221798400e+16
1.320000000000000000e+02,8.461538461538461675e+00,3.815165876777250560e+02,2.516230773370520400e+16
1.330000000000000000e+02,8.505608974358974450e+00,3.720379146919431150e+02,2.453715723100446000e+16
1.340000000000000000e+02,8.549679487179487225e+00,3.637440758293837462e+02,2.399015054114129200e+16
1.350000000000000000e+02,8.593750000000000000e+00,3.576619273301735120e+02,2.358901230190830400e+16
1.360000000000000000e+02,8.637820512820512775e+00,3.447867298578198643e+02,2.273984953573980000e+16
1.370000000000000000e+02,8.681891025641025550e+00,3.325434439178516186e+02,2.193236346975134000e+16
1.380000000000000000e+02,8.725961538461538325e+00,3.277251184834121887e+02,2.161457863087844000e+16
1.390000000000000000e+02,8.770032051282051100e+00,3.220254427538038726e+02,2.123866576280707600e+16
1.400000000000000000e+02,8.814102564102563875e+00,3.187203791469191856e+02,2.102068565331272400e+16
1.410000000000000000e+02,8.858173076923076650e+00,3.187203791469191856e+02,2.102068565331272400e+16
1.420000000000000000e+02,8.902243589743591201e+00,3.068720379146921005e+02,2.023924752493681200e+16
1.430000000000000000e+02,8.946314102564103976e+00,3.021765841671053749e+02,1.992956648887669600e+16
1.440000000000000000e+02,8.990384615384616751e+00,2.876571193076447344e+02,1.897195873413582000e+16
1.450000000000000000e+02,9.034455128205129526e+00,2.792026763311960167e+02,1.841435966043534800e+16
1.460000000000000000e+02,9.078525641025642301e+00,2.634281200631908177e+02,1.737397438755833800e+16
1.470000000000000000e+02,9.122596153846155076e+00,2.440758293838862301e+02,1.609762544454432800e+16
1.480000000000000000e+02,9.166666666666667851e+00,2.357819905213268612e+02,1.555061875468116200e+16
1.490000000000000000e+02,9.210737179487180626e+00,2.263033175355449202e+02,1.492546825198041400e+16
1.500000000000000000e+02,9.254807692307693401e+00,2.180094786729855514e+02,1.437846156211724800e+16
1.510000000000000000e+02,9.298878205128206176e+00,2.132701421800948083e+02,1.406588631076689000e+16
1.520000000000000000e+02,9.342948717948718951e+00,2.026066350710898405e+02,1.336259199522853000e+16
1.530000000000000000e+02,9.387019230769231726e+00,1.907582938388623006e+02,1.258115386685259000e+16
1.540000000000000000e+02,9.431089743589744501e+00,1.836492890995259586e+02,1.211229098982703600e+16
1.550000000000000000e+02,9.475160256410257276e+00,1.777251184834121887e+02,1.172157192563906400e+16
1.560000000000000000e+02,9.519230769230770051e+00,1.579214624238320539e+02,1.041545391106786000e+16
1.570000000000000000e+02,9.563301282051282826e+00,1.510005265929435154e+02,9.958994813857782000e+15
1.580000000000000000e+02,9.607371794871795601e+00,1.401658767772510146e+02,9.244413058687338000e+15
1.590000000000000000e+02,9.651442307692308376e+00,1.315165876777250560e+02,8.673963224972911000e+15
1.600000000000000000e+02,9.695512820512821150e+00,1.303317535545024839e+02,8.595819412135328000e+15
1.610000000000000000e+02,9.739583333333333925e+00,1.315165876777250560e+02,8.673963224972911000e+15
1.620000000000000000e+02,9.783653846153846700e+00,1.315165876777250560e+02,8.673963224972911000e+15
1.630000000000000000e+02,9.827724358974359475e+00,1.315165876777250560e+02,8.673963224972911000e+15
1.640000000000000000e+02,9.871794871794872250e+00,1.338862559241706549e+02,8.830250850648104000e+15
1.650000000000000000e+02,9.915865384615385025e+00,1.370225815444659929e+02,9.037102119924076000e+15
1.660000000000000000e+02,9.959935897435897800e+00,1.416812172611621463e+02,9.344354882474360000e+15
1.670000000000000000e+02,1.000400641025641058e+01,1.535975872468766283e+02,1.013027973694627200e+16
1.680000000000000000e+02,1.004807692307692335e+01,1.608741442864666169e+02,1.061019325417107600e+16
1.690000000000000000e+02,1.009214743589743613e+01,1.670616113744076756e+02,1.101827761010073400e+16
1.700000000000000000e+02,1.013621794871794890e+01,1.753554502369665897e+02,1.156528429996387000e+16
1.710000000000000000e+02,1.018028846153846168e+01,1.812796208530803597e+02,1.195600336415184200e+16
1.720000000000000000e+02,1.022435897435897445e+01,1.812796208530803597e+02,1.195600336415184200e+16
1.730000000000000000e+02,1.026842948717948723e+01,1.998420221169035358e+02,1.318025643194081800e+16
1.740000000000000000e+02,1.031250000000000000e+01,2.002369668246446963e+02,1.320630436955336600e+16
1.750000000000000000e+02,1.035657051282051277e+01,2.037914691943128673e+02,1.344073580806614200e+16
1.760000000000000000e+02,1.040064102564102555e+01,2.066689234935679451e+02,1.363051363924314600e+16
1.770000000000000000e+02,1.044471153846153832e+01,2.058823529411765776e+02,1.357863665425013400e+16
1.780000000000000000e+02,1.048878205128205288e+01,1.948030723974507055e+02,1.284792067619474600e+16
1.790000000000000000e+02,1.053285256410256565e+01,1.943127962085309264e+02,1.281558530536539600e+16
1.800000000000000000e+02,1.057692307692307843e+01,1.943127962085309264e+02,1.281558530536539600e+16
1.810000000000000000e+02,1.062099358974359120e+01,1.931279620853078995e+02,1.273744149252778200e+16
1.820000000000000000e+02,1.066506410256410398e+01,1.908808628860924728e+02,1.258923770955994200e+16
1.830000000000000000e+02,1.070913461538461675e+01,1.855111712931620787e+02,1.223508841000042200e+16
1.840000000000000000e+02,1.075320512820512953e+01,1.729857819905214456e+02,1.140899667428870600e+16
1.850000000000000000e+02,1.079727564102564230e+01,1.682464454976302477e+02,1.109642142293831800e+16
1.860000000000000000e+02,1.084134615384615508e+01,1.670616113744076756e+02,1.101827761010073400e+16
1.870000000000000000e+02,1.088541666666666785e+01,1.635071090047395046e+02,1.078384617158795800e+16
1.880000000000000000e+02,1.092948717948718063e+01,1.623222748815164778e+02,1.070570235875034600e+16
1.890000000000000000e+02,1.097355769230769340e+01,1.599526066350708788e+02,1.054941473307515200e+16
1.900000000000000000e+02,1.101762820512820618e+01,1.563981042654027078e+02,1.031498329456237600e+16
1.910000000000000000e+02,1.106169871794871895e+01,1.552132701421801357e+02,1.023683948172479400e+16
1.920000000000000000e+02,1.110576923076923173e+01,1.540284360189571089e+02,1.015869566888718200e+16
1.930000000000000000e+02,1.114983974358974450e+01,1.540284360189571089e+02,1.015869566888718200e+16
1.940000000000000000e+02,1.119391025641025728e+01,1.516587677725119647e+02,1.000240804321201600e+16
1.950000000000000000e+02,1.123798076923077005e+01,1.492890995260663658e+02,9.846120417536822000e+15
1.960000000000000000e+02,1.128205128205128283e+01,1.481042654028433390e+02,9.767976604699210000e+15
1.970000000000000000e+02,1.132612179487179560e+01,1.469194312796207669e+02,9.689832791861630000e+15
1.980000000000000000e+02,1.137019230769230838e+01,1.457345971563981948e+02,9.611688979024046000e+15
1.990000000000000000e+02,1.141426282051282115e+01,1.457345971563981948e+02,9.611688979024046000e+15
2.000000000000000000e+02,1.145833333333333393e+01,1.421800947867300238e+02,9.377257540511270000e+15
2.010000000000000000e+02,1.150240384615384670e+01,1.374407582938388259e+02,9.064682289160882000e+15
2.020000000000000000e+02,1.154647435897435948e+01,1.445497630331751679e+02,9.533545166186434000e+15
2.030000000000000000e+02,1.159054487179487225e+01,1.464885825075398316e+02,9.661416859920690000e+15
2.040000000000000000e+02,1.163461538461538503e+01,1.540284360189571089e+02,1.015869566888718200e+16
2.050000000000000000e+02,1.167868589743589780e+01,1.563981042654027078e+02,1.031498329456237600e+16
2.060000000000000000e+02,1.172275641025641058e+01,1.563981042654027078e+02,1.031498329456237600e+16
2.070000000000000000e+02,1.176682692307692335e+01,1.599526066350708788e+02,1.054941473307515200e+16
2.080000000000000000e+02,1.181089743589743613e+01,1.599526066350708788e+02,1.054941473307515200e+16
2.090000000000000000e+02,1.185496794871794890e+01,1.599526066350708788e+02,1.054941473307515200e+16
2.100000000000000000e+02,1.189903846153846168e+01,1.628889346795795063e+02,1.074307548662919400e+16
2.110000000000000000e+02,1.194310897435897445e+01,1.658767772511846488e+02,1.094013379726312400e+16
2.120000000000000000e+02,1.198717948717948723e+01,1.636650868878359688e+02,1.079426534663297800e+16
2.130000000000000000e+02,1.203125000000000000e+01,1.596294700560101774e+02,1.052810278411944800e+16
2.140000000000000000e+02,1.207532051282051277e+01,1.572867298578198643e+02,1.037359115419057600e+16
2.150000000000000000e+02,1.211939102564102733e+01,1.481042654028433390e+02,9.767976604699210000e+15
2.160000000000000000e+02,1.216346153846154010e+01,1.481042654028433390e+02,9.767976604699210000e+15
2.170000000000000000e+02,1.220753205128205288e+01,1.492890995260663658e+02,9.846120417536822000e+15
2.180000000000000000e+02,1.225160256410256565e+01,1.504739336492889379e+02,9.924264230374406000e+15
2.190000000000000000e+02,1.229567307692307843e+01,1.504739336492889379e+02,9.924264230374406000e+15
2.200000000000000000e+02,1.233974358974359120e+01,1.504739336492889379e+02,9.924264230374406000e+15
2.210000000000000000e+02,1.238381410256410398e+01,1.481042654028433390e+02,9.767976604699210000e+15
2.220000000000000000e+02,1.242788461538461675e+01,1.492890995260663658e+02,9.846120417536822000e+15
2.230000000000000000e+02,1.247195512820512953e+01,1.504739336492889379e+02,9.924264230374406000e+15
2.240000000000000000e+02,1.251602564102564230e+01,1.540284360189571089e+02,1.015869566888718200e+16
2.250000000000000000e+02,1.256009615384615508e+01,1.563981042654027078e+02,1.031498329456237600e+16
2.260000000000000000e+02,1.260416666666666785e+01,1.587677725118483067e+02,1.047127092023757000e+16
2.270000000000000000e+02,1.264823717948718063e+01,1.579778830963664404e+02,1.041917504501250600e+16
2.280000000000000000e+02,1.269230769230769340e+01,1.544233807266982694e+02,1.018474360649973000e+16
2.290000000000000000e+02,1.273637820512820618e+01,1.540284360189571089e+02,1.015869566888718200e+16
2.300000000000000000e+02,1.278044871794871895e+01,1.540284360189571089e+02,1.015869566888718200e+16
2.310000000000000000e+02,1.282451923076923173e+01,1.528436018957345368e+02,1.008055185604959800e+16
2.320000000000000000e+02,1.286858974358974450e+01,1.492890995260663658e+02,9.846120417536822000e+15
2.330000000000000000e+02,1.291266025641025728e+01,1.457345971563981948e+02,9.611688979024046000e+15
2.340000000000000000e+02,1.295673076923077005e+01,1.445497630331751679e+02,9.533545166186434000e+15
2.350000000000000000e+02,1.300080128205128283e+01,1.350710900473932270e+02,8.908394663485687000e+15
2.360000000000000000e+02,1.304487179487179560e+01,1.327014218009476281e+02,8.752107037810493000e+15
2.370000000000000000e+02,1.308894230769230838e+01,1.255924170616112860e+02,8.283244160784940000e+15
2.380000000000000000e+02,1.313301282051282115e+01,1.172985781990519172e+02,7.736237470921775000e+15
2.390000000000000000e+02,1.317708333333333393e+01,1.137440758293837462e+02,7.501806032408998000e+15
2.400000000000000000e+02,1.322115384615384670e+01,1.113744075829381472e+02,7.345518406733804000e+15
2.410000000000000000e+02,1.326522435897435948e+01,1.066350710900474041e+02,7.032943155383445000e+15
2.420000000000000000e+02,1.330929487179487225e+01,1.054502369668243773e+02,6.954799342545833000e+15
2.430000000000000000e+02,1.335336538461538503e+01,1.007109004739336342e+02,6.642224091195474000e+15
2.440000000000000000e+02,1.339743589743589780e+01,9.360189573459729218e+01,6.173361214169921000e+15
2.450000000000000000e+02,1.344150641025641058e+01,8.504476040021063454e+01,5.608989232565068000e+15
2.460000000000000000e+02,1.348557692307692335e+01,8.412322274881489648e+01,5.548210711469143000e+15
2.470000000000000000e+02,1.352964743589743613e+01,8.530805687203792331e+01,5.626354524306756000e+15
2.480000000000000000e+02,1.357371794871794890e+01,8.886255924170609433e+01,5.860785962819532000e+15
2.490000000000000000e+02,1.361778846153846168e+01,9.123222748815169325e+01,6.017073588494727000e+15
2.500000000000000000e+02,1.366185897435897445e+01,9.478672985781986426e+01,6.251505027007503000e+15
2.510000000000000000e+02,1.370592948717948900e+01,9.597156398104243635e+01,6.329648839845085000e+15
2.520000000000000000e+02,1.375000000000000178e+01,9.952606635071106211e+01,6.564080278357892000e+15
2.530000000000000000e+02,1.379407051282051455e+01,9.952606635071106211e+01,6.564080278357892000e+15
2.540000000000000000e+02,1.383814102564102733e+01,9.834123222748803528e+01,6.485936465520279000e+15
2.550000000000000000e+02,1.388221153846154010e+01,9.478672985781986426e+01,6.251505027007503000e+15
2.560000000000000000e+02,1.392628205128205288e+01,9.360189573459729218e+01,6.173361214169921000e+15
2.570000000000000000e+02,1.397035256410256565e+01,9.142969984202227351e+01,6.030097557301001000e+15
2.580000000000000000e+02,1.401442307692307843e+01,7.819905213270158129e+01,5.157491647281203000e+15
