Frame#,Time[s],DN,Power[W]
8.600000000000000000e+01,-6.024096385542168086e-01,1.333238067666667348e+01,8.530584247411692810e+10
8.700000000000000000e+01,-5.903614457831325435e-01,5.466325630999999419e+01,3.497571247769826050e+11
8.800000000000000000e+01,-5.783132530120480563e-01,2.246419274533333237e+02,1.437347863158014893e+12
8.900000000000000000e+01,-5.662650602409637912e-01,3.088553182633332881e+02,1.976178430996646729e+12
9.000000000000000000e+01,-5.542168674698795261e-01,3.511602603633332933e+02,2.246862175646631836e+12
9.100000000000000000e+01,-5.421686746987950389e-01,3.833522801433333029e+02,2.452839445188782715e+12
9.200000000000000000e+01,-5.301204819277107738e-01,4.794612682566666422e+02,3.067782747452230957e+12
9.300000000000000000e+01,-5.180722891566265087e-01,5.430199660133332600e+02,3.474456423383136230e+12
9.400000000000000000e+01,-5.060240963855420215e-01,6.267458512033333591e+02,4.010167737531559570e+12
9.500000000000000000e+01,-4.939759036144577564e-01,5.868190339000000222e+02,3.754700175513029297e+12
9.600000000000000000e+01,-4.819277108433734913e-01,4.852807712866666634e+02,3.105018228556041016e+12
9.700000000000000000e+01,-4.698795180722890041e-01,3.999295601199999624e+02,2.558907436242606445e+12
9.800000000000000000e+01,-4.578313253012047390e-01,2.991957480266666494e+02,1.914372681748960938e+12
9.900000000000000000e+01,-4.457831325301204739e-01,2.344055886533333251e+02,1.499819627541064941e+12
1.000000000000000000e+02,-4.337349397590359867e-01,1.896220963033333078e+02,1.213277138506386230e+12
1.010000000000000000e+02,-4.216867469879517216e-01,1.800567776833333369e+02,1.152074448364143555e+12
1.020000000000000000e+02,-4.096385542168674565e-01,3.412180607699999655e+02,2.183248052038576416e+12
1.030000000000000000e+02,-3.975903614457829693e-01,6.630445328099999642e+02,4.242421052993491211e+12
1.040000000000000000e+02,-3.855421686746987042e-01,9.441689257799999950e+02,6.041166060650021484e+12
1.050000000000000000e+02,-3.734939759036144391e-01,1.044220571389999805e+03,6.681336044291435547e+12
1.060000000000000000e+02,-3.614457831325301740e-01,1.063416039839999939e+03,6.804156240288269531e+12
1.070000000000000000e+02,-3.493975903614456868e-01,1.003809843733333196e+03,6.422772232520205078e+12
1.080000000000000000e+02,-3.373493975903614217e-01,9.968578043800000614e+02,6.378290336275881836e+12
1.090000000000000000e+02,-3.253012048192771566e-01,8.332246272033332843e+02,5.331300576959920898e+12
1.100000000000000000e+02,-3.132530120481926694e-01,9.715094766266666966e+02,6.216101713947347656e+12
1.110000000000000000e+02,-3.012048192771084043e-01,1.140364713133333225e+03,7.296504273377474609e+12
1.120000000000000000e+02,-2.891566265060241392e-01,1.198668981669999994e+03,7.669558033840682617e+12
1.130000000000000000e+02,-2.771084337349396520e-01,1.106219483163333280e+03,7.078029592845659180e+12
1.140000000000000000e+02,-2.650602409638553869e-01,1.166835489583333356e+03,7.465874766223005859e+12
1.150000000000000000e+02,-2.530120481927711218e-01,1.281628368936666675e+03,8.200364991243648438e+12
1.160000000000000000e+02,-2.409638554216866346e-01,1.300034282189999885e+03,8.318133300944632812e+12
1.170000000000000000e+02,-2.289156626506023695e-01,1.338875006993333272e+03,8.566651613765721680e+12
1.180000000000000000e+02,-2.168674698795181044e-01,1.359131118453333102e+03,8.696258223061618164e+12
1.190000000000000000e+02,-2.048192771084336172e-01,1.465718442193333203e+03,9.378246059233681641e+12
1.200000000000000000e+02,-1.927710843373493521e-01,1.323116602049999983e+03,8.465823108914220703e+12
1.210000000000000000e+02,-1.807228915662650870e-01,1.235652447336666683e+03,7.906192868445208008e+12
1.220000000000000000e+02,-1.686746987951805998e-01,1.381715692266666565e+03,8.840763255042671875e+12
1.230000000000000000e+02,-1.566265060240963347e-01,1.496879849926666338e+03,9.577629065452798828e+12
1.240000000000000000e+02,-1.445783132530120696e-01,1.912055670263333013e+03,1.223408810211126758e+13
1.250000000000000000e+02,-1.325301204819275824e-01,2.015481207829999676e+03,1.289584558034648828e+13
1.260000000000000000e+02,-1.204819277108433173e-01,2.122999333859999751e+03,1.358378905755903516e+13
1.270000000000000000e+02,-1.084337349397590522e-01,2.125706797603333143e+03,1.360111248097413477e+13
1.280000000000000000e+02,-9.638554216867456503e-02,2.330008487053333283e+03,1.490831545995290430e+13
1.290000000000000000e+02,-8.433734939759029992e-02,2.652597227066666619e+03,1.697236575276088281e+13
1.300000000000000000e+02,-7.228915662650603480e-02,2.893111232606666817e+03,1.851126944648167969e+13
1.310000000000000000e+02,-6.024096385542154763e-02,2.749871537590000116e+03,1.759476524850919141e+13
1.320000000000000000e+02,-4.819277108433728252e-02,2.488182745189999878e+03,1.592037689708855078e+13
1.330000000000000000e+02,-3.614457831325301740e-02,2.400387555549999888e+03,1.535862856428535547e+13
1.340000000000000000e+02,-2.409638554216853024e-02,2.805816575829999692e+03,1.795272372082180859e+13
1.350000000000000000e+02,-1.204819277108426512e-02,3.225174335813332618e+03,2.063594046065320703e+13
1.360000000000000000e+02,0.000000000000000000e+00,3.314384582689999661e+03,2.120674288909396875e+13
1.370000000000000000e+02,1.204819277108448716e-02,2.968719923686666334e+03,1.899504374361322656e+13
