Frame#,Time[s],DN,Power[W]
4.400000000000000000e+01,1.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,1.125000000000000000e+00,6.050979496384455203e+00,3.309770341310129375e+14
4.600000000000000000e+01,1.149999999999999911e+00,8.278430147030190867e+00,4.499379754901301875e+14
4.700000000000000000e+01,1.175000000000000044e+00,1.050195922962901562e+01,4.870137274027264375e+14
4.800000000000000000e+01,1.199999999999999956e+00,1.030588082728344013e+01,4.420538275464773750e+14
4.900000000000000000e+01,1.225000000000000089e+00,8.501959525704148035e+00,4.279809094584173750e+14
5.000000000000000000e+01,1.250000000000000000e+00,9.101959436881607246e+00,4.704103012517283125e+14
5.100000000000000000e+01,1.274999999999999911e+00,9.980390679389785191e+00,5.184579538625512500e+14
5.200000000000000000e+01,1.300000000000000044e+00,1.302352748379311542e+01,5.821459993989782500e+14
5.300000000000000000e+01,1.324999999999999956e+00,1.265097851933652251e+01,6.025394832528981250e+14
5.400000000000000000e+01,1.350000000000000089e+00,1.120391991002617615e+01,6.041312359090861250e+14
5.500000000000000000e+01,1.375000000000000000e+00,1.441568414044670021e+01,5.926776667177562500e+14
5.600000000000000000e+01,1.399999999999999911e+00,1.218431192175405187e+01,6.260612547162337500e+14
5.700000000000000000e+01,1.425000000000000044e+00,1.328235097488927430e+01,6.445836811593038750e+14
5.800000000000000000e+01,1.449999999999999956e+00,1.386666464368140872e+01,6.681961263005765000e+14
5.900000000000000000e+01,1.475000000000000089e+00,1.549411538314968517e+01,7.544003728137061250e+14
6.000000000000000000e+01,1.500000000000000000e+00,1.518038990959444412e+01,7.617561265232742500e+14
6.100000000000000000e+01,1.524999999999999911e+00,1.725489946601527080e+01,7.449378148962286250e+14
6.200000000000000000e+01,1.550000000000000044e+00,1.679215440667739401e+01,7.893495427785643750e+14
6.300000000000000000e+01,1.574999999999999956e+00,1.519215461373517861e+01,9.160607428324780000e+14
6.400000000000000000e+01,1.600000000000000089e+00,2.066666375623524132e+01,9.992140286785806250e+14
6.500000000000000000e+01,1.625000000000000000e+00,2.469019316841284351e+01,1.076466130563787625e+15
6.600000000000000000e+01,1.649999999999999911e+00,2.224705606657073531e+01,1.046056407932312125e+15
6.700000000000000000e+01,1.675000000000000044e+00,1.929803644825848608e+01,9.810222692098083750e+14
6.800000000000000000e+01,1.699999999999999956e+00,2.210587955727728016e+01,9.603419297365700000e+14
6.900000000000000000e+01,1.725000000000000089e+00,1.987842878742226560e+01,1.000621346277391625e+15
7.000000000000000000e+01,1.750000000000000000e+00,2.312940884732350355e+01,1.082621092611042250e+15
7.100000000000000000e+01,1.774999999999999911e+00,2.196078142033227820e+01,1.152954314948317000e+15
7.200000000000000000e+01,1.800000000000000044e+00,2.593333038829538850e+01,1.259093152483577250e+15
7.300000000000000000e+01,1.824999999999999956e+00,2.752156553670150885e+01,1.195687924945489750e+15
7.400000000000000000e+01,1.850000000000000089e+00,2.428627174898791807e+01,1.082094173989609125e+15
